Strain Name	Complete Genome	Subtype	Collection Date	Host	Country	State/Province	Geographic Grouping	Flu Season	Submission Date	Passage History	Specimen Source Health Status	1 PB1	2 PB2	3 PA	4 HA	5 NP	6 NA	7 MP	8 NS	Age	Gender	M2 31N	M2 26F	M2 27A	M2 30T	M2 34E	NA 275Y N1	NA 292K N2	NA 119V N2	NA 294S N2	PB1-F2 66S	PB2 E627K	PB2 D701N	PB2 A199S	PB2 A661T	PB2 V667I	PB2 K702R	PA S409N	NP L136M	M2 A16G	M2 C55F	NS1 T92E	RERRRKKR	Sensitive Drug	Resistant Drug	Submission Date	NCBI Taxon ID	pH1N1-like	US Swine H1 Clade	Global Swine H1 Clade test	H5 Clade	
B/Alabama/01/2018	No	-N/A-	01/15/2018	Human	USA	Alabama	North America	17-18	2018-04-02	Original	-N/A-	MH130396	MH130397	MH130395	MH130394	MH130393	MH130392	MH130391	MH130390	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/02/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/02/2018	Yes	-N/A-	01/22/2018	Human	USA	Alabama	North America	17-18	2018-04-03	Original	-N/A-	MH135883	MH135882	MH135884	MH135885	MH135886	MH135887	MH135888	MH135889	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/03/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/03/2018	Yes	-N/A-	02/06/2018	Human	USA	Alabama	North America	17-18	2018-04-03	Original	-N/A-	MH135891	MH135890	MH135892	MH135893	MH135894	MH135895	MH135896	MH135897	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/03/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/04/2018	Yes	-N/A-	02/06/2018	Human	USA	Alabama	North America	17-18	2018-04-03	Original	-N/A-	MH135899	MH135898	MH135900	MH135901	MH135902	MH135903	MH135904	MH135905	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/03/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/05/2018	Yes	-N/A-	02/12/2018	Human	USA	Alabama	North America	17-18	2018-07-12	Original	-N/A-	MH583078	MH583077	MH583079	MH583080	MH583081	MH583082	MH583083	MH583084	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/06/2018	Yes	-N/A-	02/13/2018	Human	USA	Alabama	North America	17-18	2018-07-12	Original	-N/A-	MH583086	MH583085	MH583087	MH583088	MH583089	MH583090	MH583091	MH583092	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	07/12/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/07/2018	Yes	-N/A-	02/20/2018	Human	USA	Alabama	North America	17-18	2018-04-29	Original	-N/A-	MH245248	MH245249	MH245247	MH245246	MH245245	MH245244	MH245243	MH245242	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/29/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/08/2018	Yes	-N/A-	02/23/2018	Human	USA	Alabama	North America	17-18	2018-05-23	Original	-N/A-	MH362861	MH362860	MH362862	MH362863	MH362864	MH362865	MH362866	MH362867	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	05/23/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/09/2018	Yes	-N/A-	02/26/2018	Human	USA	Alabama	North America	17-18	2018-04-29	Original	-N/A-	MH245256	MH245257	MH245255	MH245254	MH245253	MH245252	MH245251	MH245250	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	04/29/2018	11520	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/13/2017	Yes	-N/A-	11/28/2017	Human	USA	Alabama	North America	17-18	2018-01-02	 Original	-N/A-	CY263530	CY263531	CY263532	CY263533	CY263534	CY263535	CY263536	CY263537	53	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	01/02/2018	2067614	-N/A-	-N/A-	-N/A-	-N/A-	
B/Alabama/14/2017	Yes	-N/A-	11/30/2017	Human	USA	Alabama	North America	17-18	2018-01-02	 Original	-N/A-	MH080651,CY263522	MH080649,CY263523	MH080647,CY263524	MH080652,CY263525	CY263526,MH080653	MH080646,CY263527	MH080648,CY263528	MH080650,CY263529	49	M	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Inconsistent	2067615	-N/A-	-N/A-	-N/A-	-N/A-	
