Segment	Protein Name	Sequence Accession	Complete Genome	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	Curation Report	
6	NA	MH083303	Yes	1433	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
4	HA	MH083301	Yes	1752	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
7	-N/A-,-N/A-	MH083304	Yes	1002	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
3	PA,PA-X	MH083300	Yes	2208	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
2	-N/A-	MH083299	Yes	2316	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
5	NP	MH083302	Yes	1540	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
8	-N/A-,-N/A-	MH083305	Yes	865	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
1	PB2	MH083298	Yes	2316	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	Pass	
3	PA,PA-X	MH083308	Yes	2208	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
1	PB2	MH083306	Yes	2316	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
2	-N/A-	MH083307	Yes	2316	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
5	NP	MH083310	Yes	1540	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
7	-N/A-,-N/A-	MH083312	Yes	1002	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
6	NA	MH083311	Yes	1433	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
4	HA	MH083309	Yes	1752	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
8	-N/A-,-N/A-	MH083313	Yes	865	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	Pass	
4	HA	MH081892	Yes	1737	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
7	-N/A-,-N/A-	MH081890	Yes	1002	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
2	-N/A-,-N/A-	MH081894	Yes	2316	H3N2	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/03/2018	Pass	
