Strain Name	Complete Genome	Subtype	Collection Date	Host	Country	State/Province	Geographic Grouping	Flu Season	Submission Date	Passage History	Specimen Source Health Status	1 PB2	2 PB1	3 PA	4 HA	5 NP	6 NA	7 MP	8 NS	Age	Gender	M2 31N	M2 26F	M2 27A	M2 30T	M2 34E	NA 275Y N1	NA 292K N2	NA 119V N2	NA 294S N2	PB1-F2 66S	PB2 E627K	PB2 D701N	PB2 A199S	PB2 A661T	PB2 V667I	PB2 K702R	PA S409N	NP L136M	M2 A16G	M2 C55F	NS1 T92E	RERRRKKR	Sensitive Drug	Resistant Drug	Submission Date	NCBI Taxon ID	pH1N1-like	US Swine H1 Clade	Global Swine H1 Clade test	H5 Clade	
A/Alabama/01/2018	Yes	H1N1	01/02/2018	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH083298	MH083299	MH083300	MH083301	MH083302	MH083303	MH083304	MH083305	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	03/24/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/02/2018	Yes	H1N1	01/03/2018	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH083306	MH083307	MH083308	MH083309	MH083310	MH083311	MH083312	MH083313	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	03/24/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/03/2018	Yes	H3N2	01/03/2018	Human	USA	Alabama	North America	17-18	2018-03-24	Original	-N/A-	MH081895	MH081894	MH081893	MH081892	MH081891	MH081888	MH081890	MH081889	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	03/24/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/05/2018	Yes	H1N1	01/12/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125605	MH125604	MH125603	MH125602	MH125601	MH125600	MH125599	MH125598	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/06/2018	Yes	H3N2	01/13/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH126372	MH126371	MH126370	MH126369	MH126368	MH126367	MH126366	MH126365	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/07/2018	Yes	H1N1	01/13/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125613	MH125612	MH125611	MH125610	MH125609	MH125608	MH125607	MH125606	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/08/2018	Yes	H1N1	01/15/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125621	MH125620	MH125619	MH125618	MH125617	MH125616	MH125615	MH125614	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/09/2018	Yes	H3N2	01/16/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH126309,MH246241	MH126308,MH246239	MH246237	MH126307,MH246242	MH126306,MH246243	MH126305,MH246236	MH126304,MH246238	MH126333,MH246240	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	Segment/protein not present	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/10/2018	Yes	H1N1	01/18/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125629	MH125628	MH125627	MH125626	MH125625	MH125624	MH125623	MH125622	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/11/2018	Yes	H1N1	01/18/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125637	MH125636	MH125635	MH125634	MH125633	MH125632	MH125631	MH125630	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/12/2018	Yes	H1N1	01/18/2018	Human	USA	Alabama	North America	17-18	2018-04-01	Original	-N/A-	MH125645	MH125644	MH125643	MH125642	MH125641	MH125640	MH125639	MH125638	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	-N/A-	-N/A-	04/01/2018	11320	Mixed Positive and Negative Segments	npdm	1A.3.3.2	-N/A-	
A/Alabama/13/2018	Yes	H3N2	02/01/2018	Human	USA	Alabama	North America	17-18	2018-09-18	S2 (2018-02-19)	-N/A-	MH897983,MH126380	MH897981,MH126379	MH897979,MH126378	MH897984,MH126377	MH897985,MH126376	MH897978,MH126375	MH897980,MH126374	MH897982,MH126373	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
A/Alabama/14/2018	Yes	H3N2	02/03/2018	Human	USA	Alabama	North America	17-18	2018-09-18	S2 (2018-02-19)	-N/A-	MH897991,MH126388	MH897989,MH126387	MH897987,MH126386	MH897992,MH126385	MH897993,MH126384	MH897986,MH126383	MH897988,MH126382	MH897990,MH126381	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	-N/A-	No	Oseltamivir,Zanamivir	-N/A-	Inconsistent	11320	Negative	-N/A-	-N/A-	-N/A-	
