Segment	Protein Name	Sequence Accession	Complete Genome	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	Curation Report	
2	PB2	MH135882	Yes	2367	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
3	PA	MH135884	Yes	2276	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
5	NP	MH135886	Yes	1816	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
7	-N/A-,-N/A-	MH135888	Yes	1155	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
8	-N/A-,-N/A-	MH135889	Yes	1060	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
6	-N/A-,-N/A-	MH135887	Yes	1530	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
4	HA	MH135885	Yes	1853	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
1	PB1	MH135883	Yes	2340	-N/A-	01/22/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/02/2018	Pass	
7	-N/A-,-N/A-	MH135896	Yes	1155	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
5	NP	MH135894	Yes	1816	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
4	HA	MH135893	Yes	1853	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
1	PB1	MH135891	Yes	2341	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
8	-N/A-,-N/A-	MH135897	Yes	1062	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
6	-N/A-,-N/A-	MH135895	Yes	1530	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
3	PA	MH135892	Yes	2276	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
2	PB2	MH135890	Yes	2367	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/03/2018	Pass	
6	-N/A-,-N/A-	MH135903	Yes	1530	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
5	NP	MH135902	Yes	1815	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
8	-N/A-,-N/A-	MH135905	Yes	1062	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
1	PB1	MH135899	Yes	2341	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
7	-N/A-,-N/A-	MH135904	Yes	1155	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
4	HA	MH135901	Yes	1853	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
2	PB2	MH135898	Yes	2367	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
3	PA	MH135900	Yes	2275	-N/A-	02/06/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/04/2018	Pass	
2	PB2	MH583077	Yes	2367	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
7	-N/A-,-N/A-	MH583083	Yes	1155	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
4	HA	MH583080	Yes	1853	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
5	NP	MH583081	Yes	1816	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
8	-N/A-,-N/A-	MH583084	Yes	1063	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
6	-N/A-,-N/A-	MH583082	Yes	1530	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
3	PA	MH583079	Yes	2275	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
1	PB1	MH583078	Yes	2340	-N/A-	02/12/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/05/2018	Pass	
3	PA	MH583087	Yes	2275	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
5	NP	MH583089	Yes	1816	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
2	PB2	MH583085	Yes	2367	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
1	PB1	MH583086	Yes	2340	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
4	HA	MH583088	Yes	1853	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
6	-N/A-,-N/A-	MH583090	Yes	1530	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
8	-N/A-,-N/A-	MH583092	Yes	1062	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
